cod,nome,lat,lon,DiasSecos_2018,DiasSecos_2019,DiasSecos_2020,DiasSecos_2021,DiasSecos_2022,MedUmidMin_2018,MedUmidMin_2019,MedUmidMin_2020,MedUmidMin_2021,MedUmidMin_2022,MedUmidMax_2018,MedUmidMax_2019,MedUmidMax_2020,MedUmidMax_2021,MedUmidMax_2022
A505,Araxá,-19.60555555,-46.94944444,0.1506849315068493,0.16712328767123288,0.18032786885245902,0.2493150684931507,0.17679558011049723,43.59,42.76,43.77,39.94,41.91,80.98,79.45,79.12,76.9,77.78
A565,Bambuí,-20.0311111,-46.00861111,0.07397260273972603,0.06575342465753424,0.09562841530054644,0.10803324099722991,0.08767123287671233,48.32,48.31,50.12,45.87,47.86,96.28,96.38,97.88,92.68,98.76
A538,Curvelo,-18.76444444,-44.45361111,0.1780821917808219,0.29315068493150687,0.17759562841530055,0.2445141065830721,0.27945205479452057,41.63,36.78,43.27,38.89,37.85,88.75,85.87,89.31,72.14,85.99
A537,Diamantina,-18.2311111,-43.64805555,0.046831955922865015,0.08493150684931507,0.09016393442622951,0.0547945205479452,0.052054794520547946,52.9,47.4,53.8,51.73,50.32,89.27,88.72,91.06,90.03,90.53
A564,Divinópolis,-20.17305554,-44.87472221,0.0821917808219178,0.1095890410958904,0.10109289617486339,0.1232876712328767,0.09041095890410959,46.98,45.14,48.14,43.86,45.81,93.25,94.41,97.29,97.21,97.62
A536,Dores do Indaiá,-19.48166666,-45.59388888,0.15512465373961218,0.18356164383561643,0.14207650273224043,0.23125,0.16712328767123288,43.46,42.45,45.12,40.0,42.58,83.6,86.33,87.9,84.24,86.56
A535,Florestal,-19.88527778,-44.41694444,0.12054794520547946,0.16712328767123288,0.13934426229508196,0.20481927710843373,0.15616438356164383,44.15,42.76,45.1,41.11,42.73,93.48,79.45,94.14,91.68,94.06
A521,BH - Pampulha,-19.88416666,-43.96944443,0.11506849315068493,0.1643835616438356,0.11748633879781421,0.1506849315068493,0.1232876712328767,45.14,41.81,45.85,42.39,43.72,82.91,81.06,84.12,82.92,82.94
A562,Patos de Minas,-18.52055554,-46.44055555,0.15616438356164383,0.17270194986072424,0.17363344051446947,0.20132013201320131,0.17534246575342466,44.61,44.27,50.77,42.96,43.26,84.51,83.11,83.17,83.48,84.12
A523,Patrocínio,-18.99638888,-46.98583333,0.12386706948640483,0.1726027397260274,0.1721311475409836,0.258160237388724,0.16712328767123288,45.61,44.45,45.79,40.57,44.27,94.8,93.77,93.42,91.65,93.5
A569,Sete Lagoas,-19.455,-44.17333332,0.12876712328767123,0.2465753424657534,0.1326530612244898,0.1892744479495268,0.2054794520547945,44.14,39.5,45.23,41.1,40.31,92.81,90.97,93.33,92.24,94.66
A528,Três Marias,-18.20055555,-45.45972222,0.14794520547945206,0.20273972602739726,0.14325068870523416,0.22465753424657534,0.17534246575342466,45.15,42.36,47.61,42.37,43.23,83.94,82.72,84.82,82.11,83.62
